Produto,Rem_index,Rem_taxa,Emissor,Distribuidor,Dt_venc,Dt_carencia,Val_aplic,CETIP_certifica,Liquidez,Dt_obs,Duracao_util,Duracao_meses,Duracao_corr
LCI,CDI,93.0,PAN,Easynvest,2020-07-23,,1000.0,True,vencimento,2020-03-25,82,6.0,120.0
LCI,BRL,3.94,Maxima,Easynvest,2020-09-22,,1000.0,True,vencimento,2020-03-25,124,6.0,181.0
LCI,BRL,3.94,Maxima,Ourinvest,2020-09-22,,5000.0,True,vencimento,2020-03-25,124,6.0,181.0
LCI,BRL,3.88,PAN,PAN,2020-09-22,,100.0,False,vencimento,2020-03-25,124,6.0,181.0
LCI,CDI,108.0,PAN,BTG,2020-09-25,,10000.0,True,vencimento,2020-03-25,127,6.0,184.0
LCI,CDI,110.0,Maxima,Ourinvest,2020-09-22,,5000.0,True,vencimento,2020-03-25,124,6.0,181.0
LCI,CDI,108.0,Maxima,Easynvest,2020-09-23,,1000.0,True,vencimento,2020-03-25,125,6.0,182.0
LCI,CDI,108.0,Maxima,modalmais,2020-09-22,,1000.0,True,vencimento,2020-03-25,124,6.0,181.0
LCI,CDI,104.0,Maxima,Guide,2020-09-26,,5000.0,True,vencimento,2020-03-25,127,6.0,185.0
LCI,CDI,103.0,BTG,BTG,2020-09-25,,1000.0,True,vencimento,2020-03-25,127,6.0,184.0
LCI,CDI,104.72,PAN,PAN,2020-09-22,,100.0,False,vencimento,2020-03-25,124,6.0,181.0
LCI,CDI,103.0,BTG,Ourinvest,2020-09-21,,1000.0,True,vencimento,2020-03-25,123,6.0,180.0
LCI,CDI,100.0,BTG,Nova Futura,2020-09-22,,50000.0,True,vencimento,2020-03-25,124,6.0,181.0
LCI,CDI,100.0,BTG,modalmais,2020-09-22,,50000.0,True,vencimento,2020-03-25,124,6.0,181.0
LCI,CDI,99.0,BTG,Guide,2020-09-22,,5000.0,True,vencimento,2020-03-25,124,6.0,181.0
LCI,CDI,96.0,Bari,Guide,2020-09-26,,10000.0,True,vencimento,2020-03-25,127,6.0,185.0
LCI,CDI,98.5,Fidis,Rico,2020-09-21,,1000.0,True,vencimento,2020-03-25,123,6.0,180.0
